file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,40
style.css,50,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,40
style.css,51,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,18
style.css,52,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,21
style.css,53,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,54,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,55,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,56,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,6
style.css,57,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,7
style.css,58,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,18
style.css,59,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,21
style.css,60,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,24
style.css,61,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,14
style.css,62,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,59
style.css,63,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,64,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,65,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,66,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,14
style.css,67,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,46
style.css,68,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,21
style.css,69,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,70,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,71,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,12
style.css,72,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,46
style.css,73,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,42
style.css,74,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,71
style.css,75,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,0
style.css,76,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,0
style.css,77,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,9
style.css,78,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,5
style.css,79,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,34
style.css,80,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,81,css,752e696e,Aryan Kanuparti,2025-01-17,16:44:49,-08:00,2025-01-17T16:44:49-08:00,0,0
style.css,82,css,c4657dda,Aryan Kanuparti,2025-01-17,17:08:21,-08:00,2025-01-17T17:08:21-08:00,0,0
style.css,83,css,c4657dda,Aryan Kanuparti,2025-01-17,17:08:21,-08:00,2025-01-17T17:08:21-08:00,0,19
style.css,84,css,c4657dda,Aryan Kanuparti,2025-01-17,17:08:21,-08:00,2025-01-17T17:08:21-08:00,0,0
style.css,85,css,c4657dda,Aryan Kanuparti,2025-01-17,17:08:21,-08:00,2025-01-17T17:08:21-08:00,0,4
style.css,86,css,d9a1427c,Aryan Kanuparti,2025-01-17,17:24:53,-08:00,2025-01-17T17:24:53-08:00,0,14
style.css,87,css,0975e6fe,Aryan Kanuparti,2025-01-17,17:14:53,-08:00,2025-01-17T17:14:53-08:00,0,12
style.css,88,css,c4657dda,Aryan Kanuparti,2025-01-17,17:08:21,-08:00,2025-01-17T17:08:21-08:00,0,14
style.css,89,css,c4657dda,Aryan Kanuparti,2025-01-17,17:08:21,-08:00,2025-01-17T17:08:21-08:00,0,14
